maxi:1.699747E+00	mini:1.114754E-06
1.114754E-06	2.942483E-05
1.717027E-02	5.956491E-05
3.433942E-02	6.022056E-05
5.150857E-02	6.260475E-05
6.867772E-02	6.693602E-05
8.584688E-02	7.005533E-05
1.030160E-01	7.752577E-05
1.201852E-01	8.551280E-05
1.373543E-01	9.471178E-05
1.545235E-01	1.016061E-04
1.716926E-01	1.154741E-04
1.888618E-01	1.318852E-04
2.060309E-01	1.483162E-04
2.232001E-01	1.664956E-04
2.403693E-01	1.935959E-04
2.575384E-01	2.160271E-04
2.747076E-01	2.448757E-04
2.918767E-01	2.762477E-04
3.090459E-01	3.187458E-04
3.262150E-01	3.681183E-04
3.433842E-01	4.220208E-04
3.605533E-01	4.827579E-04
3.777225E-01	5.526940E-04
3.948916E-01	6.357233E-04
4.120608E-01	7.289251E-04
4.292299E-01	8.375843E-04
4.463991E-01	9.558996E-04
4.635682E-01	1.091679E-03
4.807374E-01	1.266499E-03
4.979065E-01	1.432121E-03
5.150757E-01	1.637797E-03
5.322448E-01	1.881858E-03
5.494140E-01	2.143860E-03
5.665831E-01	2.434254E-03
5.837523E-01	2.792577E-03
6.009215E-01	3.196915E-03
6.180906E-01	3.652513E-03
6.352598E-01	4.148046E-03
6.524289E-01	4.762689E-03
6.695981E-01	5.439540E-03
6.867672E-01	6.200592E-03
7.039364E-01	7.065654E-03
7.211055E-01	8.054296E-03
7.382747E-01	9.188016E-03
7.554438E-01	1.043220E-02
7.726130E-01	1.186073E-02
7.897821E-01	1.344424E-02
8.069513E-01	1.517836E-02
8.241204E-01	1.708293E-02
8.412896E-01	1.919156E-02
8.584587E-01	2.141692E-02
8.756279E-01	2.375897E-02
8.927970E-01	2.623777E-02
9.099662E-01	2.892812E-02
9.271354E-01	3.173188E-02
9.443045E-01	3.460195E-02
9.614737E-01	3.752140E-02
9.786428E-01	4.054946E-02
9.958120E-01	4.339490E-02
1.012981E+00	4.569413E-02
1.030150E+00	4.725842E-02
1.047319E+00	4.802805E-02
1.064489E+00	4.825956E-02
1.081658E+00	4.775512E-02
1.098827E+00	4.640812E-02
1.115996E+00	4.404577E-02
1.133165E+00	4.087102E-02
1.150334E+00	3.686925E-02
1.167503E+00	3.216447E-02
1.184673E+00	2.705826E-02
1.201842E+00	2.218570E-02
1.219011E+00	1.763411E-02
1.236180E+00	1.360750E-02
1.253349E+00	1.018250E-02
1.270518E+00	7.366161E-03
1.287688E+00	5.162477E-03
1.304857E+00	3.584206E-03
1.322026E+00	2.425392E-03
1.339195E+00	1.607319E-03
1.356364E+00	1.041055E-03
1.373533E+00	6.464918E-04
1.390702E+00	3.973047E-04
1.407872E+00	2.339085E-04
1.425041E+00	1.303752E-04
1.442210E+00	7.239978E-05
1.459379E+00	4.053116E-05
1.476548E+00	2.255042E-05
1.493717E+00	1.156330E-05
1.510887E+00	5.920728E-06
1.528056E+00	2.900759E-06
1.545225E+00	1.688798E-06
1.562394E+00	8.940697E-07
1.579563E+00	4.967054E-07
1.596732E+00	3.178914E-07
1.613901E+00	1.192093E-07
1.631071E+00	3.973643E-08
1.648240E+00	1.986821E-08
1.665409E+00	0.000000E+00
1.682578E+00	0.000000E+00
1.699747E+00	1.986821E-08
