maxi:1.655472E+00	mini:0.000000E+00
0.000000E+00	2.344449E-05
1.672194E-02	4.585584E-05
3.344387E-02	4.849831E-05
5.016581E-02	5.000830E-05
6.688775E-02	5.475680E-05
8.360969E-02	5.646547E-05
1.003316E-01	6.141265E-05
1.170536E-01	6.721417E-05
1.337755E-01	7.539988E-05
1.504974E-01	8.324782E-05
1.672194E-01	9.415547E-05
1.839413E-01	1.038512E-04
2.006632E-01	1.194676E-04
2.173852E-01	1.337528E-04
2.341071E-01	1.524289E-04
2.508291E-01	1.760920E-04
2.675510E-01	2.004107E-04
2.842729E-01	2.308091E-04
3.009949E-01	2.589424E-04
3.177168E-01	2.995928E-04
3.344387E-01	3.359715E-04
3.511607E-01	3.930728E-04
3.678826E-01	4.507105E-04
3.846046E-01	5.138318E-04
4.013265E-01	5.959670E-04
4.180484E-01	6.817977E-04
4.347704E-01	7.819533E-04
4.514923E-01	8.929173E-04
4.682142E-01	1.024882E-03
4.849362E-01	1.179059E-03
5.016581E-01	1.350224E-03
5.183801E-01	1.540939E-03
5.351020E-01	1.759092E-03
5.518239E-01	2.003352E-03
5.685459E-01	2.303302E-03
5.852678E-01	2.626240E-03
6.019897E-01	2.986689E-03
6.187117E-01	3.423313E-03
6.354336E-01	3.916601E-03
6.521556E-01	4.451454E-03
6.688775E-01	5.121867E-03
6.855994E-01	5.832195E-03
7.023214E-01	6.653090E-03
7.190433E-01	7.580360E-03
7.357652E-01	8.621613E-03
7.524872E-01	9.832203E-03
7.692091E-01	1.117804E-02
7.859311E-01	1.266336E-02
8.026530E-01	1.433335E-02
8.193749E-01	1.612884E-02
8.360969E-01	1.815850E-02
8.528188E-01	2.024978E-02
8.695407E-01	2.251697E-02
8.862627E-01	2.487359E-02
9.029846E-01	2.743193E-02
9.197066E-01	3.018822E-02
9.364285E-01	3.289998E-02
9.531504E-01	3.577838E-02
9.698724E-01	3.877523E-02
9.865943E-01	4.164040E-02
1.003316E+00	4.431214E-02
1.020038E+00	4.618160E-02
1.036760E+00	4.728852E-02
1.053482E+00	4.774467E-02
1.070204E+00	4.752473E-02
1.086926E+00	4.661159E-02
1.103648E+00	4.487058E-02
1.120370E+00	4.224374E-02
1.137092E+00	3.890681E-02
1.153814E+00	3.466429E-02
1.170536E+00	2.994009E-02
1.187258E+00	2.502608E-02
1.203979E+00	2.035149E-02
1.220701E+00	1.614994E-02
1.237423E+00	1.241601E-02
1.254145E+00	9.228965E-03
1.270867E+00	6.631394E-03
1.287589E+00	4.676163E-03
1.304311E+00	3.223598E-03
1.321033E+00	2.182523E-03
1.337755E+00	1.447757E-03
1.354477E+00	9.407997E-04
1.371199E+00	5.904436E-04
1.387921E+00	3.585021E-04
1.404643E+00	2.106229E-04
1.421365E+00	1.229445E-04
1.438087E+00	6.802877E-05
1.454809E+00	3.727277E-05
1.471530E+00	2.121925E-05
1.488252E+00	1.110633E-05
1.504974E+00	5.384286E-06
1.521696E+00	2.642473E-06
1.538418E+00	1.668930E-06
1.555140E+00	6.953875E-07
1.571862E+00	5.563100E-07
1.588584E+00	1.986821E-07
1.605306E+00	9.934107E-08
1.622028E+00	1.986821E-08
1.638750E+00	3.973643E-08
1.655472E+00	1.986821E-08
