maxi:1.590805E+00	mini:3.051758E-05
3.051758E-05	5.861123E-06
1.609895E-02	1.126528E-05
3.216738E-02	1.164277E-05
4.823581E-02	1.237790E-05
6.430424E-02	1.428525E-05
8.037267E-02	1.629194E-05
9.644110E-02	1.690785E-05
1.125095E-01	1.849731E-05
1.285780E-01	2.167622E-05
1.446464E-01	2.485514E-05
1.607148E-01	3.015995E-05
1.767832E-01	3.276269E-05
1.928517E-01	3.860394E-05
2.089201E-01	4.605452E-05
2.249885E-01	5.356471E-05
2.410570E-01	6.272395E-05
2.571254E-01	7.621447E-05
2.731938E-01	8.763870E-05
2.892623E-01	9.876490E-05
3.053307E-01	1.194477E-04
3.213991E-01	1.364946E-04
3.374675E-01	1.596212E-04
3.535360E-01	1.892249E-04
3.696044E-01	2.271136E-04
3.856728E-01	2.579292E-04
4.017413E-01	3.127853E-04
4.178097E-01	3.567537E-04
4.338781E-01	4.262726E-04
4.499465E-01	4.972219E-04
4.660150E-01	5.828142E-04
4.820834E-01	6.828507E-04
4.981518E-01	7.949273E-04
5.142203E-01	9.177526E-04
5.302887E-01	1.082321E-03
5.463571E-01	1.263777E-03
5.624256E-01	1.454631E-03
5.784940E-01	1.703898E-03
5.945624E-01	1.979371E-03
6.106308E-01	2.290030E-03
6.266993E-01	2.665202E-03
6.427677E-01	3.110607E-03
6.588361E-01	3.612638E-03
6.749046E-01	4.199167E-03
6.909730E-01	4.875183E-03
7.070414E-01	5.664388E-03
7.231099E-01	6.588320E-03
7.391783E-01	7.649243E-03
7.552467E-01	8.863608E-03
7.713151E-01	1.022323E-02
7.873836E-01	1.176242E-02
8.034520E-01	1.352082E-02
8.195204E-01	1.546635E-02
8.355889E-01	1.754604E-02
8.516573E-01	1.978475E-02
8.677257E-01	2.226736E-02
8.837941E-01	2.483098E-02
8.998626E-01	2.764978E-02
9.159310E-01	3.061658E-02
9.319994E-01	3.366826E-02
9.480679E-01	3.692311E-02
9.641363E-01	4.038056E-02
9.802047E-01	4.393254E-02
9.962732E-01	4.718065E-02
1.012342E+00	4.949162E-02
1.028410E+00	5.046684E-02
1.044478E+00	5.041593E-02
1.060547E+00	4.971417E-02
1.076615E+00	4.823166E-02
1.092684E+00	4.593941E-02
1.108752E+00	4.282234E-02
1.124821E+00	3.909548E-02
1.140889E+00	3.489246E-02
1.156957E+00	3.001322E-02
1.173026E+00	2.498446E-02
1.189094E+00	2.003215E-02
1.205163E+00	1.565993E-02
1.221231E+00	1.199563E-02
1.237300E+00	8.826534E-03
1.253368E+00	6.269515E-03
1.269436E+00	4.283011E-03
1.285505E+00	2.852301E-03
1.301573E+00	1.858751E-03
1.317642E+00	1.203557E-03
1.333710E+00	7.523100E-04
1.349779E+00	4.611413E-04
1.365847E+00	2.821088E-04
1.381915E+00	1.618067E-04
1.397984E+00	9.228786E-05
1.414052E+00	5.201499E-05
1.430121E+00	2.648433E-05
1.446189E+00	1.360973E-05
1.462258E+00	6.298224E-06
1.478326E+00	2.801418E-06
1.494394E+00	1.430511E-06
1.510463E+00	8.940697E-07
1.526531E+00	3.178914E-07
1.542600E+00	2.185504E-07
1.558668E+00	9.934107E-08
1.574737E+00	1.986821E-08
1.590805E+00	1.986821E-08
